(주)푸른숲self주유소,부산 기장군 장안읍 기장대로 1751,"X :129.251778, Y :35.3458864"
(주)호림에너지 호림주유소,부산 사상구 낙동대로 669 (엄궁동),"X :128.964064, Y :35.1225747"
(주)호유주유소,부산 수영구 좌수영로 151 (망미동),"X :129.117495, Y :35.1774853"
(주)DJS신항만물류단지주유소,부산 강서구 가락대로 834 (범방동),"X :128.877358, Y :35.1464599"
(주)SK정관주유소,부산 기장군 정관면 정관덕산길 21,"X :129.182368, Y :35.3233249"
153주유소,부산 사하구 을숙도대로 712,"X :128.983236, Y :35.0844852"
가락타운주유소,부산 사상구 낙동대로 730 (엄궁동),"X :128.968860, Y :35.1263089"
가야주유소,부산 부산진구 가야대로552번길 39,"X :129.032950, Y :35.1523132"
거북이주유소(SK),부산 금정구 중앙대로 1672 (부곡동),"X :129.092050, Y :35.2338614"
건영주유소,부산 사상구 가야대로 63 (감전동),"X :128.979693, Y :35.1515546"
경덕주유소,부산 북구 시랑로 58 (구포동),"X :129.005077, Y :35.2004941"
경동주유소,부산 사상구 백양대로 386 (주례동),"X :129.009605, Y :35.1529368"
고려주유소,부산 중구 대청로 153 (중앙동5가),"X :129.036849, Y :35.1031342"
공단신도시주유소,부산 기장군 정관면 정관로 835,"X :129.203379, Y :35.3249264"
공단주유소,부산 기장군 정관면 정관로 833,"X :129.202987, Y :35.3246632"
공항대로주유소,부산 강서구 공항로 1217 (대저1동),"X :128.981629, Y :35.2087382"
광동페트로㈜ 감사드림주유소,부산 연제구 거제대로 98,"X :129.068393, Y :35.1771621"
광신리소스㈜ 직영 광안대교주유소,부산 남구 유엔로 202,"X :129.098338, Y :35.1298595"
광신석유(주)직영 가야대로주유소,부산 사상구 가야대로 395,"X :129.015987, Y :35.1519026"
광신석유(주)직영 구평주유소,부산 사하구 서포로 61,"X :128.989301, Y :35.0818897"
광신석유(주)직영 덕천주유소,부산 북구 의성로 20 (덕천동),"X :129.008494, Y :35.2188752"
광신석유(주)직영 명지주유소,부산 강서구 르노삼성대로 372 (명지동),"X :128.897616, Y :35.0893785"
광신석유(주)직영 백양대로주유소,부산 북구 백양대로 995 (구포동),"X :128.993355, Y :35.1947940"
광신석유(주)직영 범천주유소,부산 부산진구 신천대로 85,"X :129.055800, Y :35.1507923"
광신석유(주)직영 수영강변대로주유소,부산 해운대구 수영강변대로 568,"X :129.121540, Y :35.2081344"
광신석유(주)직영 양정주유소,부산 부산진구 동평로 361 (양정동),"X :129.064435, Y :35.1751209"
광신석유(주)직영 충렬대로주유소,부산 동래구 충렬대로 95,"X :129.071599, Y :35.2074670"
광신석유(주)직영 해운대중동주유소,부산 해운대구 좌동로 18 (중동),"X :129.169656, Y :35.1677674"
광신홀딩스㈜ 직영 감전주유소,부산 사상구 낙동대로 1070 (감전동),"X :128.974099, Y :35.1557101"
광신홀딩스㈜ 직영 낙동대로주유소,부산 사상구 낙동대로 935 (감전동),"X :128.969110, Y :35.1440130"
광신홀딩스㈜ 직영 을숙도대로주유소,부산 사하구 을숙도대로 530 (신평동),"X :128.963771, Y :35.0852074"
광신홀딩스㈜ 직영 토곡주유소,부산 연제구 과정로 208,"X :129.104708, Y :35.1880893"
광안리주유소,부산 수영구 광남로 83,"X :129.113868, Y :35.1497213"
구도일주유소 부산진,부산 동구 중앙대로 414 (좌천동),"X :129.051799, Y :35.1312779"
구도일주유소용호,부산 남구 용호로 172 (용호동),"X :129.111086, Y :35.1171482"
구룡주유소,부산 사상구 가야대로 150 (학장동),"X :128.988885, Y :35.1491692"
굿오일주유소,부산 남구 북항로 108,"X :129.082054, Y :35.1089180"
극동유화(주) 고려주유소,부산 강서구 르노삼성대로 586,"X :128.928233, Y :35.0998901"
극동유화(주) 고려주유소대신,부산 서구 대영로 88 (동대신동1가),"X :129.020800, Y :35.1108824"
극동유화(주) 부산주유소,부산 사하구 하신중앙로 165 (신평동),"X :128.962845, Y :35.0932069"
극동유화(주) 우양냉장주유소,부산 서구 충무대로 240 (남부민동),"X :129.024413, Y :35.0919877"
금강석유(주) 영웅주유소,부산 남구 황령대로 346 (대연동),"X :129.095664, Y :35.1466401"
금강주유소,부산 금정구 중앙대로 1972,"X :129.091746, Y :35.2609549"
금두꺼비주유소,부산광역시 금정구  부곡로 67 (부곡동),"X :129.090118, Y :35.2223241"
금련산주유소,부산 수영구 수영로 491 (남천동),"X :129.110557, Y :35.1497971"
금룡주유소,부산 강서구 가락대로 1361 (봉림동),"X :128.902846, Y :35.1865708"
금샘로주유소,부산 금정구 금샘로 460 (남산동),"X :129.085233, Y :35.2640320"
금융단지주유소,부산 남구 황령대로98번길 75 (문현동),"X :129.066493, Y :35.144485"
금정산주유소,부산 금정구 금샘로 399 (구서동),"X :129.083859, Y :35.2588741"
금천주유소,부산 연제구 과정로 134 (연산동),"X :129.107362, Y :35.1833212"
금호주유소,부산 수영구 과정로 4  (망미동),"X :129.109545, Y :35.1722442"
기분조은주유소,부산 기장군 정관면 정관로 787,"X :129.198559, Y :35.3235903"
기장수협주유소,부산 기장군 기장읍 기장해안로 426,"X :129.221817, Y :35.2130045"
기장IC주유소,부산 기장군 일광면 기장대로 670,"X :129.223304, Y :35.2542393"
김해공항주유소,부산 강서구 공항진입로 25 (대저2동),"X :128.955414, Y :35.1810116"
남부주유소 (송도아랫길),부산 서구 충무대로 150 (남부민동),"X :129.025235, Y :35.0839986"
남산주유소,부산 금정구 중앙대로 2044 (남산동),"X :129.093068, Y :35.2666542"
남성주유소,부산 사하구 하신중앙로 240 (하단동),"X :128.961030, Y :35.0998600"
남항대교주유소,부산 서구 충무대로 108 (암남동),"X :129.023857, Y :35.0805971"
남항주유소,부산 영도구 남항서로 116,"X :129.037461, Y :35.0906968"
내리주유소,부산 기장군 기장읍 기장대로 84,"X :129.206751, Y :35.2048365"
내트럭(주) 부산신항남컨사업소,부산 강서구 신항남로 507,"X :128.834303, Y :35.0675698"
내트럭(주)부산사업소,부산 남구 신선로 168,"X :129.080987, Y :35.1096662"
내트럭(주)부산용당,부산 남구 신선로 261,"X :129.094736, Y :35.1125385"
녹산화물터미널주유소,부산 강서구 녹산산업북로 119 (송정동),"X :128.837272, Y :35.0992924"
농산물주유소,부산광역시 사상구  농산물시장로25번길 94 (엄궁동),"X :128.968242, Y :35.1311853"
뉴장안IC주유소,부산 기장군 장안읍 좌동길 45,"X :129.241981, Y :35.3212703"
