,title,description,originallink,link,pubDate
40,여수에 물들다... 어서와! 여수 밤바다는 처음이지,"""전어는 고기에 가시가 많지만, 육질이 부드럽고 씹어 먹기에 좋으며 기름이 많아 맛이 좋다. 상인들이... 기름진 전어회는 된장양념과 가장 잘 어울리기 때문에 된장양념에 먹는다. ▲전어구이는 전어 몸에 칼집을 내어... ",http://www.netongs.com/news/articleView.html?idxno=309711,http://www.netongs.com/news/articleView.html?idxno=309711,"Fri, 12 Aug 2022 09:42:00 +0900"
41,침수되면 수리비만 차 1대 값… 고유가에도 망설여지는 전기차,기름 한방울 나지 않는 대한민국에서 국제유가는 언제나 전 산업에 걸친 불안 요소다. 자동차업계도... 전기차에 대한 관심이 높아지는 이유는 기름을 태우지 않고 달리는 친환경차라는 장점도 있지만 출·퇴근용... ,http://moneys.mt.co.kr/news/mwView.php?no=2022081116391638921,https://n.news.naver.com/mnews/article/417/0000842168?sid=103,"Fri, 12 Aug 2022 06:50:00 +0900"
42,"""6990원도 남는다"" vs ""생닭만 4500원""… 치킨값 진실은?","반죽, 기름, 가스비, 전기세, 포장비, 염지 비용에 부가세 빼면 300원정도 남나 보다""고 말했다. 그는 ""마트에서 치킨만 사 가는 사람은 거의 없다""라며 ""1만~2만원이라도 더 지출하면 마트는 무조건 남는 장사""라고... ",http://moneys.mt.co.kr/news/mwView.php?no=2022081114583923788,https://n.news.naver.com/mnews/article/417/0000842157?sid=101,"Fri, 12 Aug 2022 06:24:00 +0900"
43,"실수요자, 하락장이 ‘호기’… 고점 대비 10~20% 저점 때 매수 타이밍[임창용...",우리나라뿐만 아니라 전 세계 주요 나라들이 코로나19 팬데믹 극복을 위해 투입한 막대한 유동성은 집값 폭등에 기름을 부은 격이 됐다. 아파트 거래가 얼어붙고 값이 하락세에 접어들었다는 건 실수요자에게 내 집... ,https://www.seoul.co.kr/news/newsView.php?id=20220812023007&wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003294054?sid=110,"Fri, 12 Aug 2022 05:04:00 +0900"
44,"[사설]한풀 꺾인 글로벌 인플레, 한국은 안심 아직 이르다",추석을 앞두고 주요 농산물 값이 폭등하는 상황에 기름을 부은 격이다. 소비자물가 상승률이 지난달 6.3%에서 이달에는 7%대로 높아질 것이라는 예상이 나온다. 게다가 미 연준의 2연속 자이언트 스텝으로 미국의... ,http://www.edaily.co.kr/news/newspath.asp?newsid=01151286632426664,https://n.news.naver.com/mnews/article/018/0005289976?sid=110,"Fri, 12 Aug 2022 05:01:00 +0900"
45,'한 푼이라도 아끼자'…MZ세대 '무지출 챌린지' 확산,"도시락을 싸들고 출퇴근하며 하루 약 1만 원의 식비를 절약하고, 자동차 대신 대중교통을 이용하며 월 약 10만 원의 기름 값을 아끼고 있다. 또 회사 내 구비된 인스턴트 커피를 마시며 매달 커피값으로 지출하던 9만여... ",http://www.joongboo.com/news/articleView.html?idxno=363553867,http://www.joongboo.com/news/articleView.html?idxno=363553867,"Thu, 11 Aug 2022 20:02:00 +0900"
46,가짜 토종닭과 가짜 국산 쇠고기,놓아서 기른 방사 토종닭은 삶은 국물이 노란 국물에 기름이 동동 떠 있는 것이 특징이다. 그런데 폐계도 역시 노란 국물에 기름이 동동 떠 있다는 것이다. 그러다 보니 소비자들은 식별하기가 쉽지 않다. 놓아 기른... ,http://www.newsgn.com/333352,http://www.newsgn.com/333352,"Thu, 11 Aug 2022 18:14:00 +0900"
47,"축산생산자단체 ""밥상물가 잡기 전에 국내 축산업부터 무너질라""","이어 ""러시아-우크라이나 전쟁과 미국과 중국의 패권경쟁은 현재 식량전쟁시대에 살고 있음을 말해준다""라며 ""사람은 반도체나 기름이 없어도 살지만 식량이 없으면 죽는다""고 경고했다. 이들은 대회가 끝난 뒤... ",http://www.ntoday.co.kr/news/articleView.html?idxno=93283,http://www.ntoday.co.kr/news/articleView.html?idxno=93283,"Thu, 11 Aug 2022 18:00:00 +0900"
48,"사면초가 낙농가, 아스팔트로 뛰쳐나와","낙농가민심에 기름을 부은 꼴이라고 밝혔다. 낙농진흥회 '원유의 생산 및 공급규정'에 따라 통계청 우유생산비(5월 24일) 발표일로부터 1개월 이내 '원유가격 조정 협상위원회'를 구성(학계1, 생산자3, 수요자3)해, 올해... ",http://www.amnews.co.kr/news/articleView.html?idxno=50785,http://www.amnews.co.kr/news/articleView.html?idxno=50785,"Thu, 11 Aug 2022 16:30:00 +0900"
49,"고물가에 커지는 '반값치킨' 논쟁…""그래도 남는다"" vs ""품질 달라"" 반박","사용하는 닭의 크기부터 식용유, 튀김기름 등이 다르다는 겁니다. 그렇기 때문에 마트 치킨과 프랜차이즈 치킨을 동일 선상에 놓고 가격으로 비교할 수 없다는 설명입니다. B업체 관계자도 “프랜차이즈 매장의 경우... ",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12070358,https://n.news.naver.com/mnews/article/437/0000309434?sid=101,"Thu, 11 Aug 2022 15:07:00 +0900"
